customer_id,session_id,timestamp,event_name
cus_0000175,ses_0000001,2026-02-01T06:48:05,landing_page
cus_0000175,ses_0000001,2026-02-01T06:48:54,product_view
cus_0000847,ses_0000002,2026-02-01T08:04:50,landing_page
cus_0000847,ses_0000002,2026-02-01T08:06:06,product_view
cus_0001244,ses_0000003,2026-02-01T08:04:50,landing_page
cus_0001244,ses_0000003,2026-02-01T08:06:02,product_view
cus_0000804,ses_0000004,2026-02-01T02:37:43,landing_page
cus_0000477,ses_0000005,2026-02-01T21:26:20,landing_page
cus_0000477,ses_0000005,2026-02-01T21:27:27,product_view
cus_0001269,ses_0000006,2026-02-01T18:55:51,landing_page
cus_0001269,ses_0000006,2026-02-01T18:56:16,product_view
cus_0001269,ses_0000006,2026-02-01T18:56:43,add_to_cart
cus_0000920,ses_0000007,2026-02-01T06:35:22,landing_page
cus_0000920,ses_0000007,2026-02-01T06:36:29,product_view
cus_0000632,ses_0000008,2026-02-01T21:29:07,landing_page
cus_0000395,ses_0000009,2026-02-01T16:40:10,landing_page
cus_0001133,ses_0000010,2026-02-01T10:50:51,landing_page
cus_0001133,ses_0000010,2026-02-01T10:51:26,product_view
cus_0000424,ses_0000011,2026-02-01T21:18:24,landing_page
cus_0000424,ses_0000011,2026-02-01T21:19:20,product_view
cus_0000646,ses_0000012,2026-02-01T22:16:56,landing_page
cus_0000646,ses_0000012,2026-02-01T22:17:56,product_view
cus_0000646,ses_0000012,2026-02-01T22:18:12,add_to_cart
cus_0000278,ses_0000013,2026-02-01T23:11:12,landing_page
cus_0000278,ses_0000013,2026-02-01T23:12:25,product_view
cus_0000867,ses_0000014,2026-02-01T07:03:15,landing_page
cus_0000867,ses_0000014,2026-02-01T07:04:44,product_view
cus_0000793,ses_0000015,2026-02-01T03:21:31,landing_page
cus_0000793,ses_0000015,2026-02-01T03:22:52,product_view
cus_0001433,ses_0000016,2026-02-01T00:25:48,landing_page
cus_0001145,ses_0000017,2026-02-01T05:06:22,landing_page
cus_0000704,ses_0000018,2026-02-01T04:28:37,landing_page
cus_0000704,ses_0000018,2026-02-01T04:29:57,product_view
cus_0001383,ses_0000019,2026-02-01T01:52:25,landing_page
cus_0000074,ses_0000020,2026-02-01T23:25:36,landing_page
cus_0000074,ses_0000020,2026-02-01T23:26:31,product_view
cus_0000074,ses_0000020,2026-02-01T23:26:42,add_to_cart
cus_0000074,ses_0000020,2026-02-01T23:28:54,checkout_started
cus_0000074,ses_0000020,2026-02-01T23:31:24,payment_started
cus_0000863,ses_0000021,2026-02-01T14:18:45,landing_page
cus_0000863,ses_0000021,2026-02-01T14:19:27,product_view
cus_0000323,ses_0000022,2026-02-01T23:29:59,landing_page
cus_0000323,ses_0000022,2026-02-01T23:30:32,product_view
cus_0000971,ses_0000023,2026-02-01T02:36:01,landing_page
cus_0000971,ses_0000023,2026-02-01T02:36:34,product_view
cus_0000971,ses_0000023,2026-02-01T02:36:55,add_to_cart
cus_0001003,ses_0000024,2026-02-01T20:31:15,landing_page
cus_0001003,ses_0000024,2026-02-01T20:32:32,product_view
cus_0001003,ses_0000024,2026-02-01T20:34:11,add_to_cart
cus_0001003,ses_0000024,2026-02-01T20:34:57,checkout_started
cus_0001003,ses_0000024,2026-02-01T20:36:55,payment_started
cus_0001003,ses_0000024,2026-02-01T20:37:50,purchase_completed
cus_0000341,ses_0000025,2026-02-01T02:05:54,landing_page
cus_0000341,ses_0000025,2026-02-01T02:07:15,product_view
cus_0000138,ses_0000026,2026-02-01T18:09:06,landing_page
cus_0000535,ses_0000027,2026-02-01T00:10:12,landing_page
cus_0000535,ses_0000027,2026-02-01T00:11:21,product_view
